claim_id,post_id
51,30000365332074496
51,30000874327638016
51,30009939187474432
51,30011348008042496
51,30012301633396737
51,30017667708489728
51,30022487840391168
51,30030267104104448
51,30034745802887168
51,30043341219430400
51,30044444833095681
51,30051954050727936
51,30065106381438977
51,30067103033729024
51,30069035773206529
51,30070444409229312
51,30071812599586817
51,30076702818304000
51,30087094936281088
51,30087123277193216
51,30093808431538176
51,30093892678324224
51,30094629063888897
51,30094646096961536
51,30094767245238276
51,30095251892871169
51,30095277440376833
51,30095450606411776
51,30095467433955328
51,30095651832332289
51,30095790982561792
51,30095793805336577
51,30096152514789376
51,30096246605611008
51,30096285532954625
51,30096497143980032
51,30096575514546176
51,30096995750252544
51,30097279297781761
51,30098287524577280
51,30099064997543936
51,30100598925828096
51,30101932471222272
51,30102294712291330
51,30102367949029376
51,30105402595082240
51,30105553791352832
51,30106242076643328
51,30106456523022336
51,30108109980573696
51,30109771147247616
51,30119731440656384
51,30120276544983040
51,30126101640519680
51,30128008157208576
51,30130574593105921
51,30137431932010498
51,30160511966380032
51,30162553262841857
51,30170480052797440
51,30180082312019968
51,30181593268092928
51,30192015069155328
51,30192744257298432
51,30195553019109376
51,30198105513140224
51,30204316488830976
51,30213541264891904
51,30219793458008064
51,30221432931753984
51,30228618080686080
51,30236041789050880
51,30236884051435520
51,30242865485447168
51,30243358945316864
51,30244010870181888
51,30248740119908353
51,30251634873335810
51,30254811135873024
51,30256221923573761
51,30257144930500609
51,30261845583466496
51,30261911564062721
51,30264094841896960
51,30266442486128643
51,30269795320471553
51,30275282464153600
51,30275553139359744
51,30280208774856704
51,30281114069245952
51,30282114532376577
51,30287562576756736
51,30288346194378752
51,30289052062195712
51,30290203985838080
51,30290933358530560
51,30291024588836864
51,30293013636845568
51,30297051623325696
51,30299217419304960
51,30300228494036993
51,30301614875090945
51,30301956727640064
51,30305896106033152
51,30307613262479361
51,30309232066695168
51,30312290758688768
51,30316304493707264
51,30317913206431744
51,30318012988923905
51,30319308412293122
51,30319415966834688
51,30320120953835521
51,30320946912960512
51,30322046428778497
51,30322574852362240
51,30322826447691777
51,30325093141848064
51,30325151543332864
51,30328235250155520
51,30328594454544384
51,30334237181739008
51,30338469272231936
51,30341218214875136
51,30342261082423296
51,30344481085591553
51,30345910063996929
51,30350359096459264
51,30350770880647168
51,30351955146579968
51,30355783203950592
51,30355834097635328
51,30360779903467520
51,30363262826586112
51,30364191743283200
51,30365647196127233
51,30375978140180480
51,30392750947966976
51,30393188145430528
51,30396442237468673
51,30399822364151808
51,30399823257534465
51,30409719415840769
51,30412923939594240
51,30416245660590080
51,30417347235815424
51,30419324359417857
51,30423687752585216
51,30423743528439808
51,30431432652361729
51,30436984933588993
51,30443951957737472
51,30459182910017536
51,30467494204416000
51,30471341706579968
51,30477881217912832
51,30488151663312896
51,30500781002063872
51,30501547485962240
51,30507870453760003
51,30517542229385216
51,30518332557885440
51,30518336878018561
51,30520699500105728
51,30522890235416576
51,30526511261941762
51,30527789325099008
51,30528930519711744
51,30536652631838721
51,30537395652796416
51,30542108586672128
51,30554037510213632
51,30557538793553920
51,30560346146086912
51,30572938814038017
51,30586056285884416
51,30586345852239872
51,30591411984269313
51,30596082824126464
51,30596198318473216
51,30598719967596545
51,30619111172083712
51,30625786293657600
51,30628460376363008
51,30629872141336576
51,30638821984960512
51,30640923771666432
51,30645474981584896
51,30650131585966081
51,30651024846884864
51,30653577806479360
51,30653955922984960
51,30655897927680000
51,30657492824358914
51,30657967455993858
51,30663043155234816
51,30669662664527872
51,30675724654350336
51,30677827586101248
51,30680515119939584
51,30686548747882496
51,30692364599164928
51,30695237865181186
51,30696226328420352
51,30701711316230144
51,30702438574985216
51,30703463855816704
51,30704030107836416
51,30706307971424257
51,30719175320150017
51,30720048100278273
51,30721477510692864
51,30722466175262720
51,30723813155016704
51,30727791582384128
51,30728204687773696
51,30730405967564800
51,30735276573728768
51,30748140474732545
51,30754114593886208
51,30754867597283328
51,30767239233798144
51,30768548393517056
51,30769479549984768
51,30778048181702657
51,30785405439705088
51,30789789296885761
51,30792367707525120
51,30794360505245696
51,30799252607209472
51,30800037889966080
51,30805321215639552
51,30808883672907776
51,30820911636545536
51,30821571899686914
51,30829804181786624
51,30835888401416192
51,30837766195515393
51,30862436219228160
51,30872783000961026
51,30874006101954560
51,30876014993211393
51,30880743416659970
51,30897113399296001
51,30908944591355904
51,30910139628261376
51,30913444525899776
51,30913988527132672
